topic,visits
"Grey's_Anatomy_en",12677
"Uber_(company)_en",12676
"Maddie_Ziegler_en",12628
"United_Nations_en",12576
"Muhammad_Ali_en",12478
"Alan_Turing_en",12456
"Bitcoin_en",12423
"Internet_en",12422
"Assassin's_Creed_en",12408
"England_en",12371
"List_of_most_viewed_YouTube_videos_en",12314
"Jennifer_Lawrence_en",12259
"Amazon.com_en",12208
"Tuberculosis_en",12176
"Harley_Quinn_en",12127
"Mother_Teresa_en",12064
"Adam_Sandler_en",12064
"Pansexuality_en",12057
"Soviet_Union_en",12053
"Donald_Glover_en",12034
"Interstellar_(film)_en",12028
"Mexico_en",11982
"WhatsApp_en",11967
"The_Beatles_en",11931
"Once_Upon_a_Time_(TV_series)_en",11925
"Mark_Zuckerberg_en",11867
"Ted_Bundy_en",11860
"Chicago_en",11797
"RMS_Titanic_en",11655
"Switzerland_en",11639
"Global_warming_en",11634
"Mariah_Carey_en",11625
"Ottoman_Empire_en",11622
"Nelson_Mandela_en",11568
"Dragon_Ball_Super_en",11568
"Napoleon_en",11554
"List_of_Suits_episodes_en",11552
"David_Beckham_en",11462
"X-Men_(film_series)_en",11439
"Statue_of_Liberty_en",11388
"Brazil_en",11311
"Dubai_en",11304
"The_Undertaker_en",11288
"Chris_Hemsworth_en",11285
"Bryce_Dallas_Howard_en",11178
"Ted_Cruz_en",11150
"Alexander_the_Great_en",11148
"Breaking_Bad_en",11125
"United_Arab_Emirates_en",11103
"Los_Angeles_en",11082
"Warren_Buffett_en",11081
"South_Africa_en",11055
"Italy_en",11055
"Android_version_history_en",11050
"Robin_Williams_en",11036
"Jack_Reacher_(film)_en",10986
"Indonesia_en",10964
"Charlie_Chaplin_en",10928
"River_Phoenix_en",10918
"Avengers:_Age_of_Ultron_en",10896
"Ryan_Reynolds_en",10870
"Fifty_Shades_of_Grey_en",10854
"The_Vampire_Diaries_en",10852
"Jennifer_Lopez_en",10836
"Spain_en",10814
"Demi_Lovato_en",10811
"Tyga_en",10809
"Chloë_Grace_Moretz_en",10802
"List_of_UFC_events_en",10789
"AC/DC_en",10768
"Iceland_en",10691
"Vikings_(TV_series)_en",10685
"Supernatural_(U.S._TV_series)_en",10682
"Turkey_en",10627
"Jesus_en",10568
"Channing_Tatum_en",10537
"First_Amendment_to_the_United_States_Constitution_en",10527
"Matthew_McConaughey_en",10505
"New_York_en",10504
"Zodiac_Killer_en",10503
"Ice_Cube_en",10501
"Seven_deadly_sins_en",10445
"Bruce_Lee_en",10443
"Idris_Elba_en",10436
"Al_Capone_en",10431
"List_of_Walt_Disney_Pictures_films_en",10379
"Running_Man_(TV_series)_en",10338
"Sherlock_(TV_series)_en",10322
"Android_(operating_system)_en",10297
"Akshay_Kumar_en",10276
"Argentina_es",10271
"Iran_en",10267
"Special:Upload_en",10212
"Ben_Carson_en",10187
"South_Korea_en",10180
"Bangladesh_en",10154
"Paris_Hilton_en",10147
"Schizophrenia_en",10122
"Teen_Wolf_(2011_TV_series)_en",10120
"Greek_alphabet_en",10117
"The_Holocaust_en",10030
"Europe_en",9977
"Computer_en",9967
"Furious_7_en",9951
"The_Simpsons_en",9930
"Bella_Thorne_en",9928
"Denmark_en",9919
"Vagina_en",9870
"Buddhism_en",9870
"Frank_Sinatra_en",9825
"Anna_Faris_en",9824
"Manchester_United_F.C._en",9815
"2016_Summer_Olympics_en",9815
"Crohn's_disease_en",9788
"Taiwan_en",9782
"Instagram_en",9769
"Saudi_Arabia_en",9765
"Jamie_Dornan_en",9758
"Nicole_Scherzinger_en",9725
"Jupiter_en",9712
"Sweden_en",9707
"How_to_Get_Away_with_Murder_en",9667
"Ashton_Kutcher_en",9667
"Anthony_Davis_(basketball)_en",9655
"The_Fast_and_the_Furious_en",9612
"Doctor_Who_en",9602
"Agents_of_S.H.I.E.L.D._en",9588
"Katy_Perry_en",9574
"Wikipedia:Citation_needed_en",9542
"Kendrick_Lamar_en",9521
"Batman_en",9515
"Chris_Brown_en",9497
"Kaley_Cuoco_en",9468
"Dr._Dre_en",9442
"Bob_Marley_en",9414
"Emma_Roberts_en",9392
"James_Franco_en",9344
"Malcolm_X_en",9338
"Walt_Disney_en",9323
"Egypt_en",9287
"Thailand_en",9277
"FIFA_World_Cup_en",9264
"Bipolar_disorder_en",9259
"Laura_Prepon_en",9250
"A_Song_of_Ice_and_Fire_en",9235
"Keanu_Reeves_en",9224
"Argentina_national_football_team_en",9183
"マツコ・デラックス_ja",9153
"Norway_en",9142
"John_Lennon_en",9138
"Blake_Lively_en",9135
"Bermuda_Triangle_en",9131
"Kobe_Bryant_en",9126
"Burj_Khalifa_en",9115
"Laverne_Cox_en",9107
"File:Transparent.gif_commons",9101
"Eva_Green_en",9095
"Islam_en",9070
"Twitter_en",9061
"Natalie_Portman_en",9046
"Titanic_(1997_film)_en",9013
"Malaysia_en",8994
"Masturbation_en",8987
"Kim_Jong-un_en",8913
"Amy_Schumer_en",8864
"Che_Guevara_en",8818
"Chris_Kyle_en",8809
"Shaquille_O'Neal_en",8806
"The_Blacklist_(TV_series)_en",8799
"Human_penis_size_en",8757
"Genghis_Khan_en",8749
"Cat_en",8737
"Netflix_en",8735
"Dog_en",8697
"Rosamund_Pike_en",8691
"Angela_Merkel_en",8667
"Quentin_Tarantino_en",8663
"North_Korea_en",8654
"The_Strain_(TV_series)_en",8649
"Jason_Statham_en",8636
"Jake_Gyllenhaal_en",8614
"Muhammad_en",8613
"Nicolas_Cage_en",8562
"Zac_Efron_en",8537
"Britney_Spears_en",8515
"Mad_Max:_Fury_Road_en",8497
"Chelsea_F.C._en",8495
"Empire_(2015_TV_series)_en",8482
"Solar_System_en",8474
"Ivy_League_en",8472
"FC_Barcelona_en",8456
"Gone_Girl_(film)_en",8452
"Criminal_Minds_en",8450
"Scientology_en",8431
"The_Notorious_B.I.G._en",8409
"Zayn_Malik_en",8403
"Pornography_en",8399
"Poland_en",8393
"Roger_Federer_en",8390
"Roman_Reigns_en",8326
"Guns_N'_Roses_es",8325
"Sofía_Vergara_en",8314
"Ernest_Hemingway_en",8273
"Jackie_Chan_en",8238
"Olivia_de_Havilland_en",8217
"Ed_Sheeran_en",8186
"Malta_en",8171
"Independence_Day_(United_States)_en",8166
"Argentina_en",8127
"Scream_(TV_series)_en",8125
"Modern_Family_en",8110
"響�?�!_ユーフォニアム_ja",8104
"Borderline_personality_disorder_en",8100
"Portal:Featured_content_en",8097
"Nigeria_en",8096
"Wiz_Khalifa_en",8049
"List_of_countries_by_GDP_(PPP)_per_capita_en",8042
"Ciara_en",8024
"Kate_Hudson_en",8019
"Matt_Bomer_en",7983
"Snapchat_en",7978
"Goldie_Hawn_en",7963
"Area_51_en",7956
"Amber_Heard_en",7948
"Jurassic_World_en",7942
"Scream_Queens_(2015_TV_series)_en",7913
"Belgium_en",7913
"Guardians_of_the_Galaxy_(film)_en",7871
"Ryan_Gosling_en",7861
"Battle_of_the_Somme_en",7855
"Sense8_en",7851
"Prince_(musician)_en",7832
"Fifty_Shades_of_Grey_(film)_en",7820
"Macaulay_Culkin_en",7808
"Chris_Evans_(actor)_en",7787
"Paris_en",7785
"Michael_Fassbender_en",7766
"Real_Madrid_C.F._en",7755
"Fetty_Wap_en",7749
"Mumbai_en",7746
"The_Winds_of_Winter_en",7740
"Rami_Malek_en",7732
"Transgender_en",7682
"Sandra_Bullock_en",7681
"Cameron_Diaz_en",7633
"Ant-Man_(film)_en",7619
"Matt_Damon_en",7586
"Emily_Ratajkowski_en",7566
"Pope_Francis_en",7558
"Kazakhstan_en",7538
"Zendaya_en",7494
"Wikipedia:File_Upload_Wizard_en",7493
"China_Netcom_en",7493
"Ashoka_en",7445
"Neymar_en",7443
"Greenland_en",7435
"Mike_Tyson_en",7415
"Charlize_Theron_en",7415
"Courteney_Cox_en",7400
"2014_FIFA_World_Cup_en",7387
"Rashida_Jones_en",7364
"List_of_country_calling_codes_en",7345
"Adam_Levine_en",7327
".xxx_en",7311
"2015_in_film_en",7304
"Pirates_of_the_Caribbean_(film_series)_en",7299
"Melissa_McCarthy_en",7294
"Joaquin_Phoenix_en",7281
"Kurt_Cobain_en",7227
"Fidel_Castro_en",7226
"Julia_Roberts_en",7207
"Cuba_en",7190
"List_of_Bollywood_films_of_2015_en",7135
"Czech_Republic_en",7109
"Olivia_Munn_en",7108
"Eazy-E_en",7099
"Inside_Out_(2015_film)_en",7088
"ONE_PIECE_ja",7087
"Kourtney_Kardashian_en",7084
"List_of_Pixar_films_en",7071
"Michael_J._Fox_en",7040
"Naruto_en",7019
"Jimi_Hendrix_en",7012
"Nina_Simone_en",6998
"Cyprus_en",6985
"Jidenna_en",6981
"Robert_Kardashian_en",6978
"Novak_Djokovic_en",6968
"Creed_(film)_en",6962
"Alexandra_Daddario_en",6937
"Suge_Knight_en",6850
"Hulk_Hogan_en",6829
"Brittany_Murphy_en",6811
"Jada_Pinkett_Smith_en",6806
"Arsenal_F.C._en",6793
"Sasha_Grey_en",6776
"Fifth_Harmony_en",6756
"Avatar_(2009_film)_en",6734
"Antonin_Scalia_en",6723
"Steven_Spielberg_en",6721
"YouTube_ru",6679
"How_I_Met_Your_Mother_en",6655
"Maldives_en",6645
"Tim_Tebow_en",6636
"Heidi_Klum_en",6618
"日本_ja",6616
"List_of_Orange_Is_the_New_Black_episodes_en",6603
"Spectre_(2015_film)_en",6593
"Kurt_Russell_en",6560
"DC_Universe_Animated_Original_Movies_en",6553
"Kray_twins_en",6549
"One_Direction_en",6531
"List_of_Doctor_Who_serials_en",6530
"Ronda_Rousey_en",6508
"Daredevil_(TV_series)_en",6488
"Sons_of_Anarchy_en",6480
"Wentworth_Miller_en",6466
"The_100_(TV_series)_en",6462
"Paul_Pogba_en",6443
"Игра_пре�?толов_(теле�?ериал)_ru",6417
"Liam_Neeson_en",6379
"Marlon_Brando_en",6359
"水�?�麻美_ja",6354
"Chile_es",6338
"Mel_B_en",6264
"Kit_Harington_en",6263
"Shraddha_Kapoor_en",6222
"Casey_Affleck_en",6216
"�?目漱石_ja",6199
"The_Picture_of_Dorian_Gray_en",6196
"Spider-Man_en",6195
"Lisa_Ann_en",6184
"Colin_Farrell_en",6176
"Jurassic_Park_(film)_en",6157
"Deadpool_en",6143
"Bradley_Cooper_en",6128
"The_Rolling_Stones_en",6111
"銀魂�?�登場人物一覧_ja",6094
"50_Cent_en",6089
"Katrina_Kaif_en",6039
"Attack_on_Titan_en",6035
"Arrow_(série_télévisée)_fr",5989
"Fear_the_Walking_Dead_en",5973
"Christian_Bale_en",5952
"Samuel_L._Jackson_en",5937
"Germany_national_football_team_en",5925
"Kristen_Bell_en",5899
"Serena_Williams_en",5895
"Game_of_Thrones_(season_5)_en",5860
"The_Hunger_Games_en",5847
"Dwyane_Wade_en",5842
"The_Shawshank_Redemption_en",5837
"Brazil_national_football_team_en",5816
"山崎賢人_ja",5806
"Hugh_Hefner_en",5805
"Whitney_Houston_en",5782
"Juego_de_tronos_(serie_de_televisión)_es",5766
"Mario_Vargas_Llosa_es",5758
"UEFA_Champions_League_en",5714
"Wayward_Pines_en",5711
"Bones_(TV_series)_en",5708
"Shailene_Woodley_en",5642
"Outlander_(TV_series)_en",5628
"Michael_B._Jordan_en",5612
"Amber_Rose_en",5599
"Charlie_Puth_en",5595
"Bonnie_and_Clyde_en",5586
"Kate_Mara_en",5583
"N.W.A_en",5525
"キングダム_(漫画)_ja",5495
"Служебна�?:Журналы_ru",5494
"や�?�り俺�?��?�春ラブコメ�?��?��?��?��?��?��?�る。_ja",5449
"Calvin_Harris_en",5408
"Lena_Headey_en",5394
"Dakota_Johnson_en",5387
"Frozen_(2013_film)_en",5370
"Jordan_Belfort_en",5366
"Joker_(comics)_en",5355
"Dark_Matter_(TV_series)_en",5318
"Special:SpecialPages_en",5250
"Croatia_en",5230
"ONE_OK_ROCK_ja",5224
"John_Legend_en",5202
"Janet_Jackson_en",5179
"Star_Wars_Rebels_en",5162
"Lana_Del_Rey_en",5111
"Sean_Penn_en",5085
"広瀬アリス_ja",5080
"Help:Contents_en",5066
"Ramadan_en",5024
"Juan_Domingo_Perón_es",5011
"Gucci_Mane_en",4994
"進撃�?�巨人_ja",4984
"Steven_Universe_en",4976
"Quinoa_en",4975
"List_of_Game_of_Thrones_characters_en",4974
"Clarence_Thomas_en",4973
"ジョジョ�?�奇妙�?�冒険_ja",4939
"広瀬�?��?�_ja",4932
"LGBT_en",4897
"Parks_and_Recreation_en",4869
"Scott_Eastwood_en",4855
"Wikipedia:Community_portal_en",4811
"Halle_Berry_en",4777
"Jai_Courtney_en",4765
"Rose_Byrne_en",4716
"Wikipedia:Administrators'_noticeboard/Incidents_en",4712
"Ronaldinho_en",4677
"Greece_en",4657
"窪田正�?_ja",4655
"Spice_Girls_en",4589
"Bolivia_es",4565
"The_Beach_Boys_en",4524
"Ronaldo_en",4512
"Paul_Rudd_en",4511
"Lee_Jong-suk_en",4509
"Tom_Holland_(actor)_en",4479
"Domhnall_Gleeson_en",4476
"Amy_Poehler_en",4463
"2018_FIFA_World_Cup_en",4461
"United_States_men's_national_soccer_team_en",4451
"�?�京喰種トーキョーグール_ja",4445
"Dylann_Roof_en",4441
"Evan_Spiegel_en",4438
"Divergent_(film)_en",4437
"NARUTO_-ナルト-�?�登場人物_ja",4436
"Kingsman:_The_Secret_Service_en",4365
"神戸連続�?童殺傷事件_ja",4313
"Isabel_Preysler_es",4272
"Pharrell_Williams_en",4251
"Power_(TV_series)_en",4250
"Grecia_es",4241
"Rafael_Nadal_en",4217
"Jenna_Dewan_en",4154
"Lucille_Ball_en",4116
"アベンジャーズ_(2012年�?�映画)_ja",4059
"San_Andreas_(film)_en",4038
"Girl_Meets_World_en",4024
"List_of_Games_with_Gold_games_en",3984
"Chrisley_Knows_Best_en",3924
"Jenny_McCarthy_en",3909
"Juventus_F.C._en",3893
"Top_Gear_(2002_TV_series)_en",3883
"Ex_Machina_(film)_en",3871
"Summer_Phoenix_en",3865
"Brian_Wilson_en",3861
"List_of_Girl_Meets_World_episodes_en",3845
"Selección_de_fútbol_de_Argentina_es",3839
"Peter_Dinklage_en",3829
"Silicon_Valley_(TV_series)_en",3822
"Iggy_Azalea_en",3815
"The_Last_of_Us_en",3798
"London_Has_Fallen_en",3789
"List_of_Pretty_Little_Liars_episodes_en",3789
"花�?�骨_zh",3783
"Шварценеггер,_�?рнольд_ru",3761
"Teen_Wolf_(season_5)_en",3729
"Whiplash_(2014_film)_en",3725
"Jamie_Foxx_en",3697
"Fate/stay_night_ja",3685
"List_of_Rick_and_Morty_episodes_en",3644
"精神病質_ja",3617
"Griechenland_de",3533
"FC_Bayern_Munich_en",3514
"Howard_Stern_en",3487
"Daenerys_Targaryen_en",3475
"Suicide_Squad_en",3474
"Windows_10_en",3469
"Grace_Kelly_en",3460
"Dylan_O'Brien_en",3434
"銀魂_ja",3414
"KickassTorrents_en",3391
"ラブライブ!_ja",3389
"ダンジョン�?�出会�?�を求�?る�?��?�間�?��?��?��?�る�?��?�?��?�_ja",3374
"�??探�?�コナン�?�登場人物_ja",3266
"Enfermedad_de_Lyme_es",3177
"Meek_Mill_en",3164
"�?�岡茉優_ja",3151
"Chris_Christie_en",3150
"Orphan_Black_en",3114
"Фри�?ке,_Жанна_Владимировна_ru",3072
"黒�?�?��?スケ_ja",3050
"明石家�?�ん�?�_ja",2986
"Vincent_D'Onofrio_en",2985
"Joe_Manganiello_en",2940
"The_Maze_Runner_en",2881
"Fantastic_Four_(2015_film)_en",2880
"ゴールデンボン�?ー_(�?ンド)_ja",2853
"Dilwale_(2015_film)_en",2853
"List_of_Top_Gear_episodes_en",2827
"El_señor_de_los_cielos_es",2809
"Jon_Snow_(character)_en",2742
"Lisa_Brennan-Jobs_en",2741
"Carlos_Slim_es",2715
"Pretty_Little_Liars_(season_6)_en",2696
"Francisco_(papa)_es",2649
"The_Last_Ship_(TV_series)_en",2647
"Copa_Mundial_de_Fútbol_es",2635
"北�?州監�?殺人事件_ja",2600
"Maladie_de_Lyme_fr",2598
"Amyotrophe_Lateralsklerose_de",2587
"The_Bella_Twins_en",2510
"America's_Got_Talent_en",2510
"山下智久_ja",2495
"Maria_Sharapova_en",2450
"Chris_Farley_en",2435
"Neve_Campbell_en",2402
"Pluto_en",2398
"Natasha_Lyonne_en",2360
"D._B._Cooper_en",2353
"Греци�?_ru",2318
"2015–16_UEFA_Champions_League_en",2314
"Olympus_Has_Fallen_en",2307
"Legend_(2015_film)_en",2297
"Tori_Kelly_en",2272
"Rocky_en",2206
"Hope_Solo_en",2200
"Pretty_Little_Liars_(TV_series)_en",2184
"Martin_Luther_King,_Jr._en",2163
"List_of_Orange_Is_the_New_Black_characters_en",2116
"Болезнь_Паркин�?она_ru",2104
"The_Championships,_Wimbledon_en",2067
"Flash_(série_télévisée,_2014)_fr",2052
"Copa_América_es",2052
"Murder_(série_télévisée)_fr",2012
"Wikipedia:Your_first_article_en",1949
"Ballers_en",1937
"To_Pimp_a_Butterfly_en",1934
"武则天_zh",1884
"John_Eleuthère_du_Pont_en",1876
"Kevin_Love_en",1854
"Кларк,_Эмили�?_ru",1823
"Copa_América_en",1804
"Piper_Kerman_en",1789
"西内�?�りや_ja",1772
"List_of_Penny_Dreadful_episodes_en",1771
"Orange_Is_the_New_Black_fr",1761
"血界戦線_ja",1755
"�?��??�?��?��?�生徒会長!_ja",1738
"Venus_Williams_en",1706
"アルスラーン戦記_ja",1705
"Drake_(rapper)_en",1691
"Salvador_Dalí_fr",1677
