topic,visits
"Chris_Pratt_en",29864
"Natalie_Portman_en",29770
"Angelina_Jolie_en",29767
"Internet_Movie_Database_en",29754
"List_of_Presidents_of_the_United_States_en",29580
"Template:Syrian_Civil_War_detailed_map_en",29405
"Audrey_Hepburn_en",29230
"Gigi_Hadid_en",27566
"Syrian_Civil_War_en",27531
"Spezial:Letzte_Änderungen_de",27517
"Jennifer_Garner_en",27502
"Spécial:Liste_de_suivi_fr",27494
"Ben_Affleck_en",27138
"List_of_Steven_Universe_episodes_en",27083
"Chernobyl_disaster_en",27059
"China_en",26771
"Rachel_McAdams_en",26769
"Batman_v_Superman:_Dawn_of_Justice_en",26737
"花�?�骨_zh",26242
"Howard_Hughes_en",26129
"List_of_Game_of_Thrones_episodes_en",26096
"Arrow_(TV_series)_en",26016
"American_Civil_War_en",26014
"Orange_Is_the_New_Black_en",25990
"Furious_7_en",25645
"Elon_Musk_en",25478
"Служебна�?:Спи�?ок_наблюдени�?_ru",25464
"Paul_Walker_en",25464
"Tupac_Shakur_en",25406
"Kylie_Jenner_en",25313
"The_Flash_(2014_TV_series)_en",25107
"List_of_Suits_episodes_en",24302
"Spécial:Livre_fr",24286
"United_Arab_Emirates_en",24236
"Australia_en",24189
"Macaulay_Culkin_en",24172
"Fifty_Shades_of_Grey_en",24161
"Bradley_Cooper_en",24133
"Pirates_of_the_Caribbean_(film_series)_en",24078
"Russia_en",24042
"Marilyn_Monroe_en",24018
"ONE_OK_ROCK_ja",23904
"Wiki_en",23889
"Nekrolog_2015_de",23673
"Suits_(TV_series)_en",23649
"New_York_City_en",23616
"Bill_Gates_en",23390
"Pretty_Little_Liars_(TV_series)_en",23350
"Domhnall_Gleeson_en",23165
"Shah_Rukh_Khan_en",23015
"Shia_LaBeouf_en",22997
"Deutschland_de",22688
"Wonders_of_the_World_en",22534
"Kris_Jenner_en",22524
"Fifty_Shades_of_Grey_(film)_en",22444
"Ruby_Rose_en",22369
"LeBron_James_en",22328
"Special:Log_commons",22290
"Rihanna_en",22270
"Служебна�?:Коллекци�?_книг_ru",22241
"Tom_Hanks_en",22201
"Melissa_McCarthy_en",22133
"Eazy-E_en",22074
"File:Transparent.gif_commons",21985
"Charles_Manson_en",21961
"Emilia_Clarke_en",21867
"Seth_MacFarlane_en",21557
"Heath_Ledger_en",21526
"Sexual_intercourse_en",21298
"Israel_en",21229
"Singapore_en",21121
"Germany_en",21066
"Puerto_Rico_en",21029
"Friends_en",21005
"Lil_Wayne_en",20977
"Prince_(musician)_en",20947
"Deadpool_en",20855
"Dr._Dre_en",20767
"Elvis_Presley_en",20733
"London_en",20703
"Charlie_Puth_en",20653
"Albert_Einstein_en",20635
"Ро�?�?и�?_ru",20614
"Japan_en",20572
"Dan_Bilzerian_en",20475
"Drake_(rapper)_en",20403
"Chrissy_Teigen_en",20270
"Nicki_Minaj_en",20260
"Gone_Girl_(film)_en",20121
"Cards_Against_Humanity_en",19925
"Liam_Neeson_en",19866
"�?�岡茉優_ja",19834
"Ex_Machina_(film)_en",19825
"Portal:Contents_en",19635
"Chris_Brown_en",19536
"Pornhub_en",19442
"Jim_Carrey_en",19379
"Especial:Libro_es",19378
"Diana,_Princess_of_Wales_en",19342
"David_Beckham_en",19270
"特別:ウォッ�?リスト_ja",19173
"Website_en",18956
"Illuminati_en",18868
"Ashoka_en",18830
"Akshay_Kumar_en",18811
"Mahatma_Gandhi_en",18729
"France_en",18583
"Jai_Courtney_en",18554
"List_of_Arrow_episodes_en",18553
"List_of_most_viewed_YouTube_videos_en",18452
"Asperger_syndrome_en",18446
"Idris_Elba_en",18368
"Ice_Cube_en",18356
"BDSM_en",18273
"Walt_Disney_en",18239
"Matt_Damon_en",18211
"File:1x1.png_commons",18153
"Roman_Reigns_en",18073
"The_Hunger_Games_en",18071
"Samuel_L._Jackson_en",18071
"Robin_Williams_en",18059
"Lyme_disease_en",18015
"Star_Wars_Rebels_en",17947
"Kurt_Russell_en",17946
"Anal_sex_en",17917
"Keanu_Reeves_en",17746
"Avatar_(2009_film)_en",17690
"Edward_Snowden_en",17589
"Brad_Pitt_en",17567
"Game_of_Thrones_de",17487
"Rooting_(Android_OS)_en",17479
"Harry_Potter_(film_series)_en",17449
"Emma_Watson_en",17174
"Doctor_Who_en",17026
"Jordan_Belfort_en",16970
"X-Men:_Apocalypse_en",16956
"Accueil_fr",16799
"特別:ログイン_ja",16793
"Game_of_Thrones_(season_5)_en",16640
"Sandra_Bullock_en",16515
"Pretty_Little_Liars_(season_6)_en",16487
"Teen_Wolf_(2011_TV_series)_en",16440
"Matthew_McConaughey_en",16329
"Wikipedia:About_en",16310
"Bryce_Dallas_Howard_en",16303
"Calvin_Harris_en",16273
"Bruce_Lee_en",16272
"The_Maze_Runner_en",16271
"The_Fast_and_the_Furious_en",16124
"The_Beatles_en",16098
"2016_Summer_Olympics_en",16083
"Hillary_Clinton_en",16011
"Marvel_Cinematic_Universe_en",15932
"Amber_Heard_en",15893
"Mike_Tyson_en",15710
"Anna_Faris_en",15645
"N.W.A_en",15637
"List_of_Marvel_Cinematic_Universe_films_en",15637
"Breaking_Bad_en",15597
"Christian_Bale_en",15582
"Pansexuality_en",15492
"Frozen_(2013_film)_en",15450
"Legend_(2015_film)_en",15394
"Michael_Fassbender_en",15297
"AC/DC_en",15291
"Kaley_Cuoco_en",15178
"Mariah_Carey_en",15153
"Uber_(company)_en",15045
"Steven_Spielberg_en",15042
"Brian_Wilson_en",15039
"Ryan_Reynolds_en",14972
"XXXX_en",14832
"Julia_Roberts_en",14786
"Muhammad_Ali_en",14769
"List_of_Doctor_Who_serials_en",14749
"Empire_(2015_TV_series)_en",14749
"List_of_Games_with_Gold_games_en",14734
"Teen_Wolf_(season_5)_en",14713
"Chris_Hemsworth_en",14712
"Clint_Eastwood_en",14694
"Sia_Furler_en",14691
"San_Andreas_(film)_en",14672
"John_Lennon_en",14623
"List_of_countries_by_GDP_(nominal)_en",14474
"Blake_Lively_en",14472
"Laverne_Cox_en",14432
"Jennifer_Lopez_en",14428
"Kendrick_Lamar_en",14410
"Zac_Efron_en",14396
"Tyga_en",14382
"Lady_Gaga_en",14381
"Assassin's_Creed_en",14379
"Netherlands_en",14362
"Scream_Queens_(2015_TV_series)_en",14353
"X-Men_(film_series)_en",14340
"Titanic_(1997_film)_en",14274
"Seven_deadly_sins_en",14274
"Adam_Sandler_en",14192
"Rosamund_Pike_en",14171
"Alan_Turing_en",14160
"Emma_Roberts_en",14132
"Robert_Kardashian_en",14105
"山下智久_ja",13954
"List_of_Pixar_films_en",13941
"Divergent_(film)_en",13936
"List_of_Walt_Disney_Pictures_films_en",13909
"Leonardo_da_Vinci_en",13909
"House_of_Cards_(U.S._TV_series)_en",13905
"Shaquille_O'Neal_en",13827
"David_Attenborough_en",13803
"Lionel_Messi_es",13796
"Margot_Robbie_en",13733
"Sofía_Vergara_en",13703
"American_Horror_Story_en",13616
"Jurassic_Park_(film)_en",13612
"James_Franco_en",13610
"Sense8_en",13509
"Ronald_Reagan_en",13498
"Matt_Bomer_en",13356
"ラブライブ!_ja",13283
"Ted_Cruz_en",13278
".xxx_en",13271
"Brittany_Murphy_en",13186
"Wiz_Khalifa_en",13168
"Genghis_Khan_en",13168
"Amy_Poehler_en",13154
"Jason_Statham_en",13141
"Kobe_Bryant_en",13091
"Guardians_of_the_Galaxy_(film)_en",13034
"Croatia_en",13034
"Madonna_(entertainer)_en",13031
"Vladimir_Putin_en",13029
"HTTP_404_en",12987
"RMS_Titanic_en",12962
"Special:Search_fr",12959
"Vietnam_War_en",12928
"Ivy_League_en",12882
"Ku_Klux_Klan_en",12867
"William_Shakespeare_en",12829
"Once_Upon_a_Time_(TV_series)_en",12818
"Cameron_Diaz_en",12761
"Hong_Kong_en",12751
"Grey's_Anatomy_en",12726
"Henry_VIII_of_England_en",12704
"Gotham_(TV_series)_en",12699
"WhatsApp_en",12567
"Suge_Knight_en",12566
"Lisa_Brennan-Jobs_en",12516
"John_F._Kennedy_en",12508
"Mark_Zuckerberg_en",12478
"Kate_Hudson_en",12445
"Penny_Dreadful_(TV_series)_en",12432
"Zendaya_en",12312
"Goldie_Hawn_en",12294
"Liverpool_F.C._en",12275
"Pakistan_en",12253
"New_Zealand_en",12250
"Vikings_(TV_series)_en",12220
"A_Song_of_Ice_and_Fire_en",12208
"Ashton_Kutcher_en",12198
"Ivanka_Trump_en",12178
"Nicolas_Cage_en",12176
"Sex_en",12170
"Bob_Marley_en",12127
"Bella_Thorne_en",12041
"Netflix_en",12001
"Chris_Evans_(actor)_en",11991
"明石家�?�ん�?�_ja",11984
"Спи�?ок_умерших_в_2015_году_ru",11984
"How_to_Get_Away_with_Murder_en",11947
"Arroba_(símbolo)_es",11947
"Jake_Gyllenhaal_en",11874
"Iceland_en",11874
"Kim_Jong-un_en",11871
"The_100_(TV_series)_en",11860
"Scott_Eastwood_en",11850
"The_Bella_Twins_en",11633
"Kate_Mara_en",11631
"How_I_Met_Your_Mother_en",11532
"Snoop_Dogg_en",11526
"Gucci_Mane_en",11489
"Jesus_en",11391
"Nikola_Tesla_en",11352
"California_en",11338
"Marlon_Brando_en",11306
"Fantastic_Four_(2015_film)_en",11277
"Jeb_Bush_en",11265
"Ryan_Gosling_en",11228
"Great_Wall_of_China_en",11223
"The_Winds_of_Winter_en",11193
"Bill_Clinton_en",11159
"Supernatural_(U.S._TV_series)_en",11137
"Rick_and_Morty_en",11128
"Miley_Cyrus_en",11068
"Philippines_en",11059
"Scientology_en",11057
"List_of_UFC_events_en",11046
"Charlize_Theron_en",11044
"The_Undertaker_en",10976
"Ben_Carson_en",10956
"Ottoman_Empire_en",10872
"Katy_Perry_en",10814
"Alexandra_Daddario_en",10791
"Muhammad_en",10776
"Beyoncé_en",10767
"Napoleon_en",10726
"進撃�?�巨人_ja",10707
"Los_Angeles_en",10702
"Franklin_D._Roosevelt_en",10701
"Modern_Family_en",10692
"Chloë_Grace_Moretz_en",10690
"2014_FIFA_World_Cup_en",10685
"Katrina_Kaif_en",10567
"Daredevil_(TV_series)_en",10555
"Charlie_Chaplin_en",10542
"List_of_United_States_cities_by_population_en",10540
"Lycos_en",10522
"List_of_Orange_Is_the_New_Black_episodes_en",10505
"Turkey_en",10502
"Maddie_Ziegler_en",10418
"Kourtney_Kardashian_en",10412
"Soviet_Union_en",10407
"Sasha_Grey_en",10400
"September_11_attacks_en",10391
"Dakota_Johnson_en",10391
"Grace_Kelly_en",10363
"Masturbation_en",10355
"Ten_Commandments_en",10321
"North_Korea_en",10277
"Vin_Diesel_en",10274
"Anna_Kendrick_en",10268
"Bruno_Mars_en",10264
"Rashida_Jones_en",10255
"River_Phoenix_en",10240
"Kurt_Cobain_en",10216
"Shailene_Woodley_en",10141
"European_Union_en",10102
"England_en",10098
"Attack_on_Titan_en",10083
"Lisa_Ann_en",10070
"Human_penis_size_en",9957
"Norway_en",9932
"The_Vampire_Diaries_en",9868
"Dragon_Ball_Super_en",9841
"ジミー大西_ja",9810
"Lucille_Ball_en",9766
"Vagina_en",9765
"Jenna_Dewan_en",9740
"Rose_Byrne_en",9723
"Criminal_Minds_en",9717
"Eva_Green_en",9687
"Britney_Spears_en",9678
"Theodore_Roosevelt_en",9658
"Ronda_Rousey_en",9621
"50_Cent_en",9616
"Facebook_es",9612
"Sons_of_Anarchy_en",9584
"Rami_Malek_en",9566
"Agents_of_S.H.I.E.L.D._en",9564
"Android_(operating_system)_en",9548
"Paris_Hilton_en",9529
"Donald_Glover_en",9516
"Millennials_en",9504
"Jawaharlal_Nehru_en",9472
"FC_Barcelona_en",9456
"Apple_Inc._en",9455
"Taj_Mahal_en",9407
"Hawaii_en",9395
"Martin_Luther_King,_Jr._en",9383
"Queen_Victoria_en",9381
"Sean_Penn_en",9372
"Courteney_Cox_en",9352
"Switzerland_en",9336
"Lockheed_Martin_F-35_Lightning_II_en",9336
"Warren_Buffett_en",9330
"South_Africa_en",9319
"Elizabeth_I_of_England_en",9304
"Android_version_history_en",9292
"New_York_en",9282
"Brazil_en",9229
"Ted_Bundy_en",9215
"Bajrangi_Bhaijaan_en",9181
"山崎賢人_ja",9180
"Periodic_table_en",9154
"George_W._Bush_en",9143
"Saudi_Arabia_en",9140
"Jackie_Chan_en",9139
"Paul_Rudd_en",9118
"Che_Guevara_en",9077
"Instagram_en",9062
"Egypt_en",9058
"Bonnie_and_Clyde_en",9039
"Manchester_United_F.C._en",9031
"Indonesia_en",9006
"Batman_en",8994
"The_Notorious_B.I.G._en",8993
"Bipolar_disorder_en",8989
"Olivia_Munn_en",8987
"ゴールデンボン�?ー_(�?ンド)_ja",8983
"日本_ja",8980
"Naruto_en",8956
"Bangladesh_en",8952
"Pornography_en",8941
"Brock_Lesnar_en",8929
"The_Simpsons_en",8912
"Joseph_Stalin_en",8884
"YouTube_ru",8879
"Fear_the_Walking_Dead_en",8873
"Wentworth_Miller_en",8834
"Rocky_en",8807
"Laura_Prepon_en",8799
"Jamie_Dornan_en",8797
"Parks_and_Recreation_en",8772
"Wikipedia:Contact_us_en",8761
"Taiwan_en",8756
"John_Eleuthère_du_Pont_en",8737
"Adam_Levine_en",8729
"Narcissistic_personality_disorder_en",8722
"Malta_en",8689
"Jack_Reacher_(film)_en",8672
"The_Blacklist_(TV_series)_en",8671
"FIFA_World_Cup_en",8670
"Islam_en",8667
"Joaquin_Phoenix_en",8643
"Alexander_the_Great_en",8632
"Mexico_en",8625
"Italy_en",8617
"Twitter_en",8611
"Neymar_en",8603
"Jimi_Hendrix_en",8557
"Narendra_Modi_en",8508
"Malaysia_en",8446
"Greenland_en",8428
"Sweden_en",8409
"Chicago_en",8409
"Washington,_D.C._en",8405
"Snapchat_en",8379
"Iran_en",8378
"NATO_phonetic_alphabet_en",8375
"South_Korea_en",8374
"Outlander_(TV_series)_en",8352
"Fifth_Harmony_en",8348
"窪田正�?_ja",8320
"Ivana_Trump_en",8289
"España_es",8284
"George_Washington_en",8243
"Amazon.com_en",8218
"English_language_en",8211
"Schizophrenia_en",8183
"Michael_J._Fox_en",8173
"List_of_country_calling_codes_en",8150
"Maldives_en",8148
"Miles_Teller_en",8142
"Nicole_Scherzinger_en",8134
"Crohn's_disease_en",8119
"Arsenal_F.C._en",8109
"Spain_en",8081
"Whitney_Houston_en",8066
"Spider-Man_en",8047
"Copa_América_Centenario_en",8029
"Matt_Smith_(actor)_en",7979
"Denmark_en",7976
"Whiplash_(2014_film)_en",7972
"Rothschild_family_en",7972
"ONE_PIECE_ja",7910
"Lana_Del_Rey_en",7849
"Tuberculosis_en",7816
"Richard_Nixon_en",7806
"Ernest_Hemingway_en",7800
"Copa_América_Centenario_es",7800
"Estados_Unidos_es",7785
"The_Beach_Boys_en",7777
"Serena_Williams_en",7762
"Transgender_en",7725
"Borderline_personality_disorder_en",7710
"Buddhism_en",7693
"List_of_Girl_Meets_World_episodes_en",7692
"Mumbai_en",7690
"Thailand_en",7673
"Running_Man_(TV_series)_en",7648
"Amber_Rose_en",7633
"List_of_Pretty_Little_Liars_episodes_en",7600
"Kristen_Bell_en",7595
"Mother_Teresa_en",7560
"Statue_of_Liberty_en",7545
"Greek_alphabet_en",7545
"The_Rolling_Stones_en",7529
"Roger_Federer_en",7515
"Mel_B_en",7511
"Tim_Tebow_en",7509
"China_Netcom_en",7477
"Olivia_de_Havilland_en",7435
"List_of_Game_of_Thrones_characters_en",7399
"Dunning–Kruger_effect_en",7393
"George_H._W._Bush_en",7391
"�?�唇�?�蓋裂_ja",7389
"Europe_en",7318
"Dylan_O'Brien_en",7315
"Cat_en",7299
"銀魂�?�登場人物一覧_ja",7280
"Wayward_Pines_en",7273
"Bermuda_Triangle_en",7249
"Poland_en",7248
"Area_51_en",7237
"Floyd_Mayweather,_Jr._en",7211
"Belgium_en",7186
"Girl_Meets_World_en",7181
"Jupiter_en",7167
"広瀬�?��?�_ja",7133
"Apollo_Creed_en",7106
"DC_Universe_Animated_Original_Movies_en",7087
"Jada_Pinkett_Smith_en",7046
"Pope_Francis_en",7043
"Shraddha_Kapoor_en",7014
"Uniform_resource_locator_en",6972
"Al_Capone_en",6955
"Internet_en",6934
"List_of_countries_by_GDP_(PPP)_per_capita_en",6928
"Bitcoin_en",6917
"Halle_Berry_en",6886
"KickassTorrents_en",6879
"Cyprus_en",6873
"Jimmy_Carter_en",6849
"Lena_Headey_en",6826
"マッドマックス_怒り�?�デス・ロード_ja",6778
"Dog_en",6778
"Wikipedia:Citation_needed_en",6761
"�?�京喰種トーキョーグール_ja",6719
"Earth_en",6703
"Isaac_Newton_en",6678
"Nigeria_en",6673
"Paris_en",6643
"Greece_en",6629
"Peter_Dinklage_en",6603
"Emily_Ratajkowski_en",6603
"Marla_Maples_en",6567
"Benjamin_Franklin_en",6564
"List_of_TCP_and_UDP_port_numbers_en",6513
"Fidel_Castro_en",6500
"Portal:Featured_content_en",6477
"Cuba_en",6458
"United_Nations_en",6441
"Spice_Girls_en",6430
"Chrisley_Knows_Best_en",6392
"Solar_System_en",6376
"To_Pimp_a_Butterfly_en",6370
"Global_warming_en",6357
"Argentina_en",6346
"Bones_(TV_series)_en",6345
"Colin_Farrell_en",6333
"Ronaldinho_en",6302
"Primera_Guerra_Mundial_es",6253
"List_of_states_and_territories_of_the_United_States_en",6233
"Pharrell_Williams_en",6216
"Iggy_Azalea_en",6206
"Chelsea_F.C._en",6192
"Nelson_Mandela_en",6185
"Angela_Merkel_en",6182
"Wikipedia:File_Upload_Wizard_en",6162
"Игра_пре�?толов_(теле�?ериал)_ru",6145
"Hulk_Hogan_en",6125
"Janet_Jackson_en",6100
"Tori_Kelly_en",6088
"Republican_Party_presidential_candidates,_2016_en",6071
"Real_Madrid_C.F._en",6057
"Cristiano_Ronaldo_es",6055
"Christopher_Columbus_en",6032
"Tom_Holland_(actor)_en",6024
"The_Shawshank_Redemption_en",6002
"西内�?�りや_ja",5990
"Dark_Matter_(TV_series)_en",5947
"The_Last_of_Us_en",5913
"List_of_HTTP_status_codes_en",5908
"Steven_Universe_en",5905
"Joe_Manganiello_en",5905
"2015–16_UEFA_Champions_League_en",5896
"Heidi_Klum_en",5870
"El_señor_de_los_cielos_es",5868
"The_Holocaust_en",5851
"Ciara_en",5797
"Kazakhstan_en",5758
"Malcolm_X_en",5712
"Guns_N'_Roses_es",5692
"黒�?�?��?スケ_ja",5649
"Donald_Trump_es",5648
"Xherdan_Shaqiri_en",5635
"John_Legend_en",5631
"Jamie_Foxx_en",5620
"Top_Gear_(2002_TV_series)_en",5616
"Suicide_Squad_en",5597
"Segunda_Guerra_Mundial_es",5594
"Casey_Affleck_en",5572
"Orphan_Black_en",5562
"Sophie_Turner_(actress)_en",5518
"�?目漱石_ja",5467
"Czech_Republic_en",5446
"Quinoa_en",5445
"Novak_Djokovic_en",5414
"Vincent_D'Onofrio_en",5303
"Kit_Harington_en",5279
"Special:Upload_en",5265
"Harley_Quinn_en",5232
"Rafael_Nadal_en",5119
"Arrow_(série_télévisée)_fr",5086
"Silicon_Valley_(TV_series)_en",5067
"Joker_(comics)_en",5012
"ジョジョ�?�奇妙�?�冒険_ja",5008
"UEFA_Champions_League_en",5003
"México_es",4988
"Isabel_Preysler_es",4957
"アルスラーン戦記_ja",4919
"キングダム_(漫画)_ja",4826
"Jidenna_en",4802
"武媚娘传奇_zh",4779
"United_States_Declaration_of_Independence_en",4756
"Trans-Pacific_Partnership_en",4727
"NARUTO_-ナルト-�?�登場人物_ja",4723
"金田朋�?_ja",4711
"Hugh_Hefner_en",4694
"Argentina_national_football_team_en",4655
"Independence_Day_(United_States)_en",4654
"水�?�麻美_ja",4653
"Amyotrophe_Lateralsklerose_de",4650
"Special:SpecialPages_en",4624
"Computer_en",4587
"Ronaldo_en",4554
"Natasha_Lyonne_en",4539
"ダンジョン�?�出会�?�を求�?る�?��?�間�?��?��?��?�る�?��?�?��?�_ja",4538
"Scream_(TV_series)_en",4506
"Rae_Sremmurd_en",4464
"Humans_(TV_series)_en",4464
"マツコ・デラックス_ja",4441
"List_of_amendments_to_the_United_States_Constitution_en",4402
"Help:Contents_en",4397
"Juego_de_tronos_(serie_de_televisión)_es",4381
"The_Picture_of_Dorian_Gray_en",4359
"Zodiac_Killer_en",4251
"Argentina_es",4173
"Howard_Stern_en",4150
"List_of_Top_Gear_episodes_en",4147
"FC_Bayern_Munich_en",4063
"Summer_Phoenix_en",4024
"Fate/stay_night_ja",3995
"Windows_10_en",3993
"Wikipedia:Community_portal_en",3890
"広瀬アリス_ja",3889
"Фри�?ке,_Жанна_Владимировна_ru",3871
"マッドマックス_ja",3842
"Ramadan_en",3833
"Meek_Mill_en",3807
"Шварценеггер,_�?рнольд_ru",3763
"Tabla_periódica_de_los_elementos_es",3762
"�??探�?�コナン�?�登場人物_ja",3689
"London_Has_Fallen_en",3654
"響�?�!_ユーフォニアム_ja",3634
"United_States_Constitution_en",3623
"Power_(TV_series)_en",3571
"Dwyane_Wade_en",3513
"Maria_Sharapova_en",3496
"2018_FIFA_World_Cup_en",3478
"Neve_Campbell_en",3463
"や�?�り俺�?��?�春ラブコメ�?��?��?��?��?��?��?�る。_ja",3455
"銀魂_ja",3454
"Flag_of_the_United_States_en",3399
"Piper_Kerman_en",3394
"Lee_Jong-suk_en",3388
"Chris_Farley_en",3305
"アベンジャーズ_(2012年�?�映画)_ja",3291
"Anthony_Davis_(basketball)_en",3274
"高島礼�?_ja",3260
"神戸連続�?童殺傷事件_ja",3234
"Supreme_Court_of_the_United_States_en",3227
"Francisco_(papa)_es",3210
"Bolivia_es",3194
"The_Last_Ship_(TV_series)_en",3151
"List_of_Orange_Is_the_New_Black_characters_en",3146
"Germany_national_football_team_en",3118
"List_of_Rick_and_Morty_episodes_en",3110
"Juventus_F.C._en",3096
"Andy_Murray_en",3092
"Olympus_Has_Fallen_en",3086
"精神病質_ja",3067
"Дефолт_ru",2983
"Standard_deviation_en",2970
"Orange_Is_the_New_Black_fr",2948
"First_Amendment_to_the_United_States_Constitution_en",2930
"�?�れ_ja",2906
"Maladie_de_Lyme_fr",2861
"Venus_Williams_en",2845
"横山裕_ja",2833
"Paul_Pogba_en",2801
"The_Strain_(TV_series)_en",2783
"Brazil_national_football_team_en",2753
"Evan_Spiegel_en",2733
"LGBT_en",2731
"Jean_Dujardin_fr",2719
"Daenerys_Targaryen_en",2705
"アルスラーン戦記�?�登場人物_ja",2633
"Терминатор:_Генези�?_ru",2619
"血界戦線_ja",2594
"Who_Are_You�?學校2015_zh",2585
"Copa_América_en",2518
"武则天_zh",2488
"愛·回家_(電視劇)_zh",2484
"List_of_Teen_Wolf_episodes_en",2442
"Chile_es",2424
"Jon_Snow_(character)_en",2401
"Griechenland_de",2304
"2015_Copa_América_en",2304
"Milos_Raonic_en",2200
"D._B._Cooper_en",2184
"Dakota_Johnson_es",2182
"Ballers_en",2174
